sentencePrep,label
"you are gorgeous keep those pix cumming  thank you
",0
"hello my little party animal i just thought id buzz you as you were with your friends grins reminding you were loved and send a naughty adoring kiss
",0
"juz now havent woke up so a bit blur blur can dad went out liao i cant cum now oso
",0
"ü say until like dat i dun buy ericsson oso cannot oredi lar
",0
"wait 2 minstand at bus stop
",0
"hey cutie how goes it here in wales its kinda ok there is like hills and shit but i still avent killed myself 
",0
"kit strip  you have been billed 150p netcollex ltd po box 1013 ig11 oja
",1
"jay says hell put in  ltgt
",0
"got fujitsu ibm hp toshiba got a lot of model how to say
",0
"alrite sam its nic just checkin that this is ur numberso is ittb
",0
"somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams
",0
"hows that watch resizing
",0
"darren was saying dat if u meeting da ge den we dun meet 4 dinner cos later u leave xy will feel awkward den u meet him 4 lunch lor
",0
"hi harishs rent has been transfred to ur acnt
",0
"lol you wont feel bad when i use her money to take you out to a steak dinner d
",0
"oh yes why is it like torture watching england
",0
"excellent are you ready to moan and scream in ecstasy
",0
"man this bus is so so so slow i think youre gonna get there before me
",0
"he is world famamus
",0
"congrats kanowhr s the treat maga
",0
"ya very nice  be ready on thursday
",0
"now whats your house  again  and do you have any beer there 
",0
"do you know what mallika sherawat did yesterday find out now   lturlgt
",0
"dont flatter yourself tell that man of mine two pints of carlin in ten minutes please 
",0
"is fujitsu s series lifebook good
",0
"free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 87077 get txting and tell ur mates zed pobox 36504 w45wq norm150ptone 16
",1
"hi 07734396839 ibh customer loyalty offer the new nokia6600 mobile from only £10 at txtauctiontxt wordstart to no81151  get yours now4t
",1
"yeah its jus rite
",0
"who are you seeing
",0
"you are chosen to receive a £350 award pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer
",1
"ok lor sony ericsson salesman i ask shuhui then she say quite gd 2 use so i considering
",0
"no need to buy lunch for me i eat maggi mee
",0
"i can make lasagna for you vodka
",0
"we made it eta at taunton is 1230 as planned hope that‘s still okday good to see you xx
",0
"where are you  what do you do  how can you stand to be away from me  doesnt your heart ache without me  dont you wonder of me  dont you crave me 
",0
"what is your record for one night 
",0
"hey are you angry with me reply me dr
",0
"shopping eh ger i toking abt syd lehhaha
",0
"hi baby ive just got back from work and i was wanting to see u allday i hope i didnt piss u off on the phone today if u are up give me a call xxx
",0
"friendship poem dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni8
",0
"my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
",0
"go chase after her and run her over while shes crossing the street
",0
"thats a shame maybe cld meet for few hrs tomo
",0
"still otside leu come 2morrow maga
",0
"sorry i cant take your call right now it so happens that there r 2waxsto do wat you want she can come and ill get her medical insurance and shell be able to deliver and have basic care im currently shopping for the right medical insurance for her so just give me til friday morning thats when ill see the major person that can guide me to the right insurance
",0
"my planning usually stops at find hella weed smoke hella weed
",0
"dun b sad its over dun thk abt it already concentrate on ur other papers k
",0
"im in office now dawhere are you
",0
"is she replying has boye changed his phone number
",0
"whos this am in class
",0
"oh shut it omg yesterday i had a dream that i had 2 kids both boys i was so pissed not only about the kids but them being boys i even told mark in my dream that he was changing diapers cause im not getting owed in the face
",0
"httptms widelivecomindex wmlid820554ad0a1705572711firsttrue¡c c ringtone¡
",1
"moon has come to color your dreams stars to make them musical and my sms to give you warm and peaceful sleep good night
",0
"yeah no probs  last night is obviously catching up with you speak soon 
",0
"pete can you please ring meive hardly gotany credit
",0
"dear uve been invited to xchat this is our final attempt to contact u txt chat to 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yrs
",1
"wow so healthy old airport rd lor cant thk of anything else but ill b bathing my dog later
",0
"wow v v impressed have funs shopping
",0
"got it it looks scrumptious daddy wants to eat you all night long
",0
"im going out to buy mums present ar
",0
"your account has been credited with 500 free text messages to activate just txt the word credit to no 80488 tcs www80488biz
",1
"lol please do actually send a pic of yourself right now i wanna see pose with a comb and hair dryer or something
",0
"carry on not disturbing both of you
",0
"by the way ive put a skip right outside the front of the house so you can see which house it is just pull up before it
",0
"yup ok
",0
"ela kanoil download come wen ur free
",0
"im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud
",0
"we tried to contact you re your reply to our offer of a video handset 750 anytime any networks mins unlimited text camcorder reply or call 08000930705 now
",1
"ill text now all creepy like so he wont think that we forgot
",0
"1s reach home call me
",0
"meet after lunch la
",0
"have you started in skye
",0
"and several to you sir
",0
"in da car park 
",0
"this weeks savamob member offers are now accessible just call 08709501522 for details savamob pobox 139 la3 2wu only £150week savamob  offers mobile
",1
"someone u know has asked our dating service 2 contact you cant guess who call 09058091854 now all will be revealed po box385 m6 6wu
",1
"i uploaded mine to facebook
",0
"good afternoon on this glorious anniversary day my sweet j  i hope this finds you happy and content my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers  you cougarpen
",0
"urgent your mobile no was awarded a £2000 bonus caller prize on 10803 this is our 2nd attempt to contact you call 08714719523 box95qu bt national rate
",1
"sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 £150 sptyrone
",1
"i jus hope its true that  missin me cos im really missin him you havent done anything to feel guilty about yet
",0
"short but cute   be a good person  but dont try to prove  gud mrng
",0
"die now i have e toot fringe again
",0
"i am going to bed now prin
",0
"simply sitting and watching match in office
",0
"k k pa had your lunch aha
",0
"somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams
",0
"wat makes u thk ill fall down but actually i thk im quite prone 2 falls lucky my dad at home i ask him come n fetch me already
",0
"indeed and by the way it was either or  not both 
",0
"kkcongratulation 
",0
"you said to me before i went back to bed that you cant sleep for anything
",0
"welcome to ukmobiledate this msg is free giving you free calling to 08719839835 future mgs billed at 150p daily to cancel send go stop to 89123
",1
"huh but i cant go 2 ur house empty handed right
",0
"wifehow she knew the time of murder exactly
",0
"whos there say hi to our drugdealer
",0
"how much is blackberry bold2 in nigeria
",0
"great i have to run now so ttyl
",0
"got meh when
",0
"then its most likely called mittelschmertz google it if you dont have paracetamol dont worry it will go
",0
